director,revenue
Chris Buck,1274219009.0
Kyle Balda,1156730962.0
Lee Unkrich,1066969703.0
Joss Whedon,987943689.3333334
Chris Renaud,875958308.0
James Cameron,840509919.8571428
Roger Allers,788241776.0
Tim Miller,783112979.0
Colin Trevorrow,758768301.0
Robert Stromberg,758539785.0
